0,0,3,3
1,0,3,3
2,0,3,3
0,1,3,3
1,1,3,3
2,1,3,3
0,0,5,3
1,0,5,3
2,0,5,3
0,1,5,3
1,1,5,3
2,1,5,3
0,0,7,3
1,0,7,3
2,0,7,3
0,1,7,5
1,1,7,3
2,1,7,2
0,0,12,5
1,0,12,5
2,0,12,5
0,1,12,5
1,1,12,5
2,1,12,5
0,0,16,5
1,0,16,5
2,0,16,5
0,1,16,5
1,1,16,5
2,1,16,5
0,0,3,1
1,0,3,1
2,0,3,1
0,1,3,1
1,1,3,1
2,1,3,1
0,0,5,2
1,0,5,1
2,0,5,1
0,1,5,2
1,1,5,1
2,1,5,1
0,0,7,2
1,0,7,1
2,0,7,1
0,1,7,1
1,1,7,1
2,1,7,2
0,0,12,2
1,0,12,2
2,0,12,2
0,1,12,2
1,1,12,2
2,1,12,2
0,0,16,2
1,0,16,2
2,0,16,2
0,1,16,2
1,1,16,2
2,1,16,2
0,0,3,-1
1,0,3,0
2,0,3,0
0,1,3,0
1,1,3,0
2,1,3,0
0,0,5,-1
1,0,5,0
2,0,5,-1
0,1,5,-1
1,1,5,-1
2,1,5,-1
0,0,7,0
1,0,7,-1
2,0,7,-1
0,1,7,-1
1,1,7,-1
2,1,7,-1
0,0,12,0
1,0,12,0
2,0,12,0
0,1,12,0
1,1,12,0
2,1,12,0
0,0,16,0
1,0,16,0
2,0,16,0
0,1,16,0
1,1,16,0
2,1,16,0
0,0,3,6
1,0,3,6
2,0,3,5
0,1,3,6
1,1,3,6
2,1,3,6
0,0,5,6
1,0,5,6
2,0,5,6
0,1,5,6
1,1,5,6
2,1,5,6
0,0,7,6
1,0,7,6
2,0,7,6
0,1,7,6
1,1,7,6
2,1,7,6
0,0,12,6
1,0,12,6
2,0,12,6
0,1,12,6
1,1,12,6
2,1,12,6
0,0,16,6
1,0,16,6
2,0,16,6
0,1,16,6
1,1,16,6
2,1,16,6
0,0,3,3
1,0,3,3
2,0,3,3
0,1,3,3
1,1,3,3
2,1,3,3
0,0,5,5
1,0,5,3
2,0,5,3
0,1,5,5
1,1,5,5
2,1,5,3
0,0,7,3
1,0,7,3
2,0,7,2
0,1,7,3
1,1,7,3
2,1,7,3
0,0,12,5
1,0,12,5
2,0,12,5
0,1,12,5
1,1,12,5
2,1,12,5
0,0,16,5
1,0,16,5
2,0,16,5
0,1,16,5
1,1,16,5
2,1,16,5
0,0,3,-2
1,0,3,-3
2,0,3,-3
0,1,3,-3
1,1,3,-3
2,1,3,-3
0,0,5,-2
1,0,5,-3
2,0,5,-3
0,1,5,-2
1,1,5,-3
2,1,5,-3
0,0,7,-2
1,0,7,-3
2,0,7,-3
0,1,7,-2
1,1,7,-3
2,1,7,-3
0,0,12,-2
1,0,12,-2
2,0,12,-2
0,1,12,-2
1,1,12,-2
2,1,12,-2
0,0,16,-2
1,0,16,-2
2,0,16,-2
0,1,16,-2
1,1,16,-2
2,1,16,-2
0,0,3,2
